Date	Count	Days2T1	Group
2022/3/11	1	10	Beast
2022/6/2	100	93	Beast
2022/8/2	1	154	Beast
2022/8/5	2	157	Seq
2022/8/7	4	159	Seq
2022/8/8	1	160	Seq
2022/8/10	3	162	Seq
2022/8/11	1	163	Seq
2022/8/13	2	165	Seq
2022/8/15	2	167	Seq
2022/8/16	1	168	Seq
2022/9/29	1	212	Seq
2022/10/2	1	215	Seq
2022/10/5	2	218	Seq
2022/10/6	1	219	Seq
2022/10/7	4	220	Seq
2022/10/8	5	221	Seq
2022/10/9	3	222	Seq
2022/10/11	1	224	Seq
2022/10/12	2	225	Seq
2022/10/13	1	226	Seq
2022/10/15	2	228	Seq
2022/10/16	3	229	Seq
2022/10/17	3	230	Seq
2022/10/18	7	231	Seq
2022/10/20	4	233	Seq
2022/10/21	3	234	Seq
2022/10/22	5	235	Seq
2022/10/23	5	236	Seq
2022/10/24	10	237	Seq
2022/10/25	2	238	Seq
2022/10/26	5	239	Seq
2022/10/27	4	240	Seq
2022/10/28	16	241	Seq
2022/10/29	5	242	Seq
2022/10/30	3	243	Seq
2022/10/31	4	244	Seq
2022/11/1	2	245	Seq
2022/11/2	2	246	Seq
2022/11/3	2	247	Seq
2022/11/5	3	249	Seq
2022/11/7	3	251	Seq
2022/11/8	7	252	Seq
2022/11/9	3	253	Seq
2022/11/11	2	255	Seq
2022/11/12	3	256	Seq
2022/11/13	5	257	Seq
2022/11/14	1	258	Seq
2022/11/15	4	259	Seq
2022/11/16	2	260	Seq
2022/11/17	12	261	Seq
2022/11/18	14	262	Seq
2022/11/19	9	263	Seq
2022/11/20	9	264	Seq
2022/11/21	2	265	Seq
2022/11/22	18	266	Seq
2022/11/23	10	267	Seq
2022/11/24	23	268	Seq
2022/11/25	29	269	Seq
2022/11/26	24	270	Seq
2022/11/27	48	271	Seq
2022/11/28	23	272	Seq
2022/11/29	25	273	Seq
2022/11/30	19	274	Seq
2022/12/1	219	275	Seq
2022/12/2	141	276	Seq
2022/12/3	82	277	Seq
2022/12/4	49	278	Seq
2022/12/5	42	279	Seq
2022/12/6	64	280	Seq
2022/12/7	39	281	Seq
2022/12/8	42	282	Seq
2022/12/9	64	283	Seq
2022/12/10	29	284	Seq
2022/12/11	32	285	Seq
2022/12/12	111	286	Seq
2022/12/13	55	287	Seq
2022/12/14	77	288	Seq
2022/12/15	42	289	Seq
2022/12/16	86	290	Seq
2022/12/17	70	291	Seq
2022/12/18	50	292	Seq
2022/12/19	180	293	Seq
2022/12/20	139	294	Seq
2022/12/21	201	295	Seq
