Date	Cases	Date2T1	Group
2022/8/26	27323.571	0	case
2022/8/27	27780.571	1	case
2022/8/28	28488.857	2	case
2022/8/29	29035.143	3	case
2022/8/30	29826	4	case
2022/8/31	30707.429	5	case
2022/9/1	31706.286	6	case
2022/9/2	32834.857	7	case
2022/9/3	34006.286	8	case
2022/9/4	35088.286	9	case
2022/9/5	35612.714	10	case
2022/9/6	36316	11	case
2022/9/7	37226	12	case
2022/9/8	37314.571	13	case
2022/9/9	37313.286	14	case
2022/9/10	37612.571	15	case
2022/9/11	37168.714	16	case
2022/9/12	37254.714	17	case
2022/9/13	38638.143	18	case
2022/9/14	39712.714	19	case
2022/9/15	41096.286	20	case
2022/9/16	42068	21	case
2022/9/17	42527.571	22	case
2022/9/18	43511.429	23	case
2022/9/19	43850.857	24	case
2022/9/20	43422.429	25	case
2022/9/21	42941.857	26	case
2022/9/22	42393	27	case
2022/9/23	42044.857	28	case
2022/9/24	41782.286	29	case
2022/9/25	41619.571	30	case
2022/9/26	41613.571	31	case
2022/9/27	41723.857	32	case
2022/9/28	41907.286	33	case
2022/9/29	42197.286	34	case
2022/9/30	42659.857	35	case
2022/10/1	43298.857	36	case
2022/10/2	43894.571	37	case
2022/10/3	44571.143	38	case
2022/10/4	45119.714	39	case
2022/10/5	46045.143	40	case
2022/10/6	46311.143	41	case
2022/10/7	47420.571	42	case
2022/10/8	47690	43	case
2022/10/9	47955.143	44	case
2022/10/10	47847.571	45	case
2022/10/11	46738	46	case
2022/10/12	46446.857	47	case
2022/10/13	47476.857	48	case
2022/10/14	47122.286	49	case
2022/10/15	46987.143	50	case
2022/10/16	46575.429	51	case
2022/10/17	46099.857	52	case
2022/10/18	46590.286	53	case
2022/10/19	45444.714	54	case
2022/10/20	43428.429	55	case
2022/10/21	41832.286	56	case
2022/10/22	40764	57	case
2022/10/23	39861.143	58	case
2022/10/24	39504.429	59	case
2022/10/25	38716.143	60	case
2022/10/26	38136.714	61	case
2022/10/27	37643.429	62	case
2022/10/28	37332.143	63	case
2022/10/29	36856.286	64	case
2022/10/30	36357.429	65	case
2022/10/31	35848.714	66	case
2022/11/1	35149.143	67	case
2022/11/2	33689.714	68	case
2022/11/3	33343.429	69	case
2022/11/4	32252.429	70	case
2022/11/5	31300.286	71	case
2022/11/6	30233	72	case
2022/11/7	29419	73	case
2022/11/8	28194.857	74	case
2022/11/9	27571.714	75	case
2022/11/10	26112.571	76	case
2022/11/11	25283	77	case
2022/11/12	24535	78	case
2022/11/13	23950.286	79	case
2022/11/14	24090.286	80	case
2022/11/15	23269.571	81	case
2022/11/16	23180.429	82	case
2022/11/17	23112.714	83	case
2022/11/18	22948.143	84	case
2022/11/19	22687.571	85	case
2022/11/20	22457.571	86	case
2022/11/21	21898	87	case
2022/11/22	22054.857	88	case
2022/11/23	21638.714	89	case
2022/11/24	21188.857	90	case
2022/11/25	20848	91	case
2022/11/26	20600.714	92	case
2022/11/27	20392.143	93	case
2022/11/28	20423.714	94	case
2022/11/29	20524.143	95	case
2022/11/30	20548.429	96	case
2022/12/1	20673.143	97	case
2022/12/2	20778.857	98	case
2022/12/3	20877.286	99	case
2022/12/4	20988.429	100	case
2022/12/5	21206	101	case
2022/12/6	21173.286	102	case
2022/12/7	21206.143	103	case
2022/12/8	21231.286	104	case
2022/12/9	84506	105	case
2022/12/10	159699.714	106	case
2022/12/11	263698.857	107	case
2022/12/12	389166.429	108	case
2022/12/13	532988.429	109	case
2022/12/14	703742.143	110	case
2022/12/15	956197.429	111	case
2022/12/16	1218625.714	112	case
2022/12/17	1585507.143	113	case
2022/12/18	2059929.286	114	case
2022/12/19	2660908.571	115	case
2022/12/20	3357355	116	case
2022/12/21	4102314	117	case
2022/12/22	4841782	118	case
2022/12/23	5417115.143	119	case
2022/12/24	5782211	120	case
2022/12/25	5882128.571	121	case
2022/12/26	5790632	122	case
2022/12/27	5569412	123	case
2022/12/28	5154944	124	case
2022/12/29	4578255	125	case
2022/12/30	4021322.286	126	case
2022/12/31	3520696.571	127	case
2023/1/1	3069032.143	128	case
2023/1/2	2614744.429	129	case
2023/1/3	2187263.857	130	case
2023/1/4	1861150.571	131	case
2023/1/5	1584388.571	132	case
2023/1/6	1360671.143	133	case
2023/1/7	1151680.286	134	case
2023/1/8	997541.429	135	case
2023/1/9	872574.857	136	case
2023/1/10	735732.143	137	case
2023/1/11	601334.857	138	case
2023/1/12	499208.429	139	case
2023/1/13	409101.429	140	case
2023/1/14	337367.286	141	case
2023/1/15	282204.714	142	case
2023/1/16	240472	143	case
2023/1/17	201628.429	144	case
2023/1/18	172752	145	case
2023/1/19	146501.143	146	case
2023/1/20	125455.143	147	case
2023/1/21	107883.286	148	case
2023/1/22	94048.429	149	case
2023/1/23	81296.286	150	case
2023/1/24	64255.143	151	case
2023/1/25	51678.714	152	case
2023/1/26	40770.714	153	case
2023/1/27	32145.571	154	case
2023/1/28	25077.429	155	case
2023/1/29	22668.571	156	case
2023/1/30	22146.143	157	case
2023/1/31	24618.286	158	case
2023/2/1	26417.286	159	case
2023/2/2	24080.429	160	case
2023/2/3	28100	161	case
2023/2/4	27567	162	case
2023/2/5	26936.286	163	case
2023/2/6	26117.429	164	case
2023/2/7	24839.143	165	case
2023/2/8	23744.143	166	case
2023/2/9	26695.286	167	case
2023/2/10	21936.571	168	case
2023/2/11	24633.286	169	case
2023/2/12		170	case
2023/2/13	21354.571	171	case
2023/2/14	20929.571	172	case
2023/2/15	20289.143	173	case
2023/2/16	19682.143	174	case
2023/2/17	16878	175	case
2023/2/18	15121.286	176	case
2023/2/19	17409.571	177	case
2023/2/20	16670.143	178	case
2023/2/21	16196.571	179	case
2023/2/22	15701.714	180	case
2023/2/23	15356.571	181	case
2023/2/24	15356.571	182	case
2023/2/25	11095.714	183	case
2023/2/26	14542.571	184	case
2023/2/27	13922	185	case
2023/2/28	12898.143	186	case
2023/3/1	12284.857	187	case
2023/3/2	12235	188	case
2023/3/3	12235	189	case
2023/3/4	12112.857	190	case
2023/3/5	11455.286	191	case
2023/3/6	11353.857	192	case
2023/3/7	11477.143	193	case
2023/3/8	11302.286	194	case
2023/3/9	10653.143	195	case
2023/3/10	10653.143	196	case
2023/3/11	13181.143	197	case
2023/3/12	9406.857	198	case
2023/3/13	9331.143	199	case
2023/3/14	9196.143	200	case
2023/3/15	9073.429	201	case
2023/3/16	8996.286	202	case
2023/3/17	8996.286	203	case
2023/3/18	9328.714	204	case
2023/3/19	8720.714	205	case
2023/3/20	8575.286	206	case
2023/3/21	7511.857	207	case
2023/3/22	6092.286	208	case
2023/3/23	4808.714	209	case
2023/3/24	4808.714	210	case
2023/3/25	1943.143	211	case
2023/3/26	1341.286	212	case
2023/3/27	549.857	213	case
2023/3/28	172.857	214	case
2023/3/29	140.143	215	case
2023/3/30	133.286	216	case
2023/3/31	133.286	217	case
2023/4/1	124.571	218	case
2023/4/2	58	219	case
2023/4/3	148.714	220	case
2023/4/4	152.714	221	case
2023/4/5	158.143	222	case
2023/4/6	149.429	223	case
2023/4/7	149.429	224	case
