1037	158	35191	7760
2761	538	33467	7380
5926	1102	30302	6816
1042	210	35186	7708
621	124	35607	7794
748	184	35480	7734
153	27	36075	7891
356	95	35872	7823
280	90	35948	7828
342	78	35886	7840
44	17	36184	7901
1522	331	34706	7587
1372	240	34856	7678
1405	283	34823	7635
679	138	35549	7780
678	117	35550	7801
163	119	5399	4039
446	284	5116	3874
919	685	4643	3473
147	131	5415	4027
109	80	5453	4078
119	108	5443	4050
26	10	5536	4148
64	59	5498	4099
39	45	5523	4113
38	56	5524	4102
2	8	5560	4150
249	139	5313	4019
242	118	5320	4040
197	117	5365	4041
117	93	5445	4065
122	70	5440	4088
