Date	Count
2022-08-05	2
2022-08-07	4
2022-08-16	1
2022-08-08	1
2022-08-10	3
2023-01-11	197
2023-01-16	274
2023-01-22	50
2023-02-13	102
2023-02-16	113
2023-03-20	96
2023-01-12	154
2023-04-10	52
2023-01-17	180
2022-08-11	1
2022-08-13	2
2023-03-12	49
2023-03-10	124
2023-03-31	38
2023-01-18	99
2023-01-23	58
2022-10-28	16
2022-10-29	5
2022-10-30	3
2023-01-03	417
2023-02-18	83
2023-01-05	260
2023-03-27	56
2023-03-16	98
2023-02-19	51
2023-01-19	108
2023-02-17	84
2023-03-02	104
2023-02-24	142
2023-02-23	114
2023-02-07	122
2023-02-06	125
2023-02-21	202
2023-01-28	153
2023-01-30	130
2022-11-15	4
2022-11-17	12
2023-01-04	215
2023-02-26	61
2022-12-21	201
2023-01-25	81
2023-02-20	104
2023-04-11	38
2023-03-03	159
2023-04-17	78
2023-01-15	132
2023-01-14	46
2023-01-26	73
2022-12-31	50
2022-12-06	64
2023-01-08	147
2023-01-20	93
2023-01-06	138
2023-02-05	56
2023-02-10	121
2023-02-04	28
2023-02-99	83
2023-03-09	74
2023-04-03	43
2022-10-23	5
2022-10-05	2
2022-09-29	1
2022-10-15	2
2022-12-28	302
2022-12-03	82
2022-12-17	70
2023-01-09	315
2023-02-11	39
2022-12-29	127
2023-01-02	243
2023-02-02	93
2023-01-10	220
2022-12-22	170
2023-03-23	81
2023-01-31	61
2022-12-27	247
2023-01-07	95
2023-01-13	79
2023-02-03	89
2022-12-26	222
2022-11-05	3
2022-12-25	119
2022-10-16	3
2023-02-27	113
2023-02-09	66
2023-02-15	69
2023-03-14	99
2022-08-15	2
2023-01-01	57
2023-02-01	125
2023-03-13	95
2022-12-15	42
2022-12-12	111
2023-02-25	52
2023-03-17	89
2023-04-18	88
2023-03-29	51
2023-04-23	45
2023-05-03	24
2022-12-11	32
2023-99-99	18
2023-02-08	61
2022-12-19	180
2022-12-01	219
2023-01-24	62
2023-03-21	82
2023-03-24	32
2023-04-06	46
2023-04-04	21
2023-03-06	140
2023-03-01	86
2023-04-19	49
2023-04-05	23
2023-04-14	19
2023-02-14	94
2023-03-04	52
2023-02-28	123
2023-04-01	25
2023-03-30	28
2023-05-04	11
2023-03-05	42
2023-03-22	46
2022-12-16	86
2022-12-10	29
2022-12-09	64
2023-04-12	17
2023-05-01	9
2023-05-08	3
2023-03-18	63
2023-04-26	17
2023-04-20	35
2023-03-26	35
2023-05-05	8
2023-03-25	34
2023-04-02	25
2023-03-08	89
2023-03-19	32
2023-03-07	93
2023-03-15	80
2023-02-22	69
2023-02-12	65
2022-12-24	74
2022-12-30	123
2022-12-13	55
2023-03-99	21
2023-03-11	42
2022-12-20	139
2022-12-02	141
2023-04-30	16
2022-12-08	42
2022-12-07	39
2023-01-29	57
2022-12-23	82
2022-12-14	77
2023-04-24	30
2023-01-27	34
2023-04-28	13
2022-11-26	24
2022-11-27	48
2022-10-27	4
2022-11-25	29
2022-12-05	42
2022-12-04	49
2022-11-22	18
2023-05-23	2
2022-11-28	23
2023-04-16	14
2023-04-25	54
2022-11-30	19
2023-04-22	16
2023-03-28	55
2023-04-13	20
2023-04-15	7
2023-05-02	17
2022-12-99	13
2023-04-07	27
2023-05-06	3
2022-11-29	25
2023-04-08	14
2023-05-09	4
2022-11-08	7
2023-01-21	30
2022-11-20	9
2022-12-18	50
2022-11-07	3
2022-10-24	10
2022-10-20	4
2022-10-26	5
2022-10-21	3
2022-10-22	5
2022-10-31	4
2022-10-07	4
2022-10-08	5
2022-10-09	3
2022-10-11	1
2022-10-12	2
2022-10-25	2
2022-10-17	3
2022-11-13	5
2023-04-21	24
2022-11-18	14
2023-04-27	4
2022-11-24	23
2022-11-23	10
2022-10-18	7
2022-11-21	2
2022-11-19	9
2022-10-06	1
2022-10-02	1
2022-10-13	1
2022-11-09	3
2023-04-09	16
2022-11-03	2
2022-11-01	2
2022-11-12	3
2022-11-11	2
2022-11-16	2
2022-11-14	1
2023-04-29	1
2022-11-02	2
2023-05-11	3
