Date	Count
2022-12-24	12
2022-10-05	3
2022-12-04	5
2022-12-08	3
2022-12-01	27
2022-12-02	22
2022-11-29	8
2022-11-30	8
2022-12-03	27
2023-01-15	12
2023-01-22	13
2022-10-03	12
2022-12-05	14
2022-11-28	6
2022-10-07	3
2023-01-03	34
2022-12-28	29
2022-10-04	8
2023-01-11	13
2023-01-07	17
2022-10-10	3
2022-12-14	5
2023-03-23	13
2022-12-23	5
2022-12-22	24
2023-01-05	15
2023-01-04	19
2022-12-21	12
2022-12-25	9
2023-03-03	18
2022-12-07	7
2023-02-02	6
2023-02-99	6
2022-12-26	22
2022-11-27	3
2022-12-13	18
2022-12-27	19
2022-11-03	1
2022-10-16	12
2022-09-30	2
2023-02-04	6
2022-10-15	9
2022-10-11	4
2022-10-09	7
2022-10-14	9
2022-10-12	6
2022-10-27	2
2023-01-18	6
2022-10-06	4
2022-10-13	2
2022-10-23	1
2022-10-20	7
2022-10-18	17
2022-10-17	4
2022-10-22	2
2022-12-06	6
2022-12-19	12
2023-01-02	16
2022-12-16	8
2023-02-27	9
2023-04-06	2
2023-03-30	2
2023-03-02	5
2023-01-16	18
2023-02-23	5
2023-02-19	6
2023-02-20	9
2023-02-07	3
2022-10-29	1
2023-01-06	19
2023-01-25	13
2023-01-23	4
2023-01-17	23
2022-10-02	3
2023-01-09	28
2023-03-22	6
2023-04-10	1
2022-11-24	5
2023-02-24	13
2023-02-22	4
2023-03-05	8
2023-02-18	3
2023-04-05	1
2023-04-07	2
2022-12-12	8
2023-01-27	5
2023-02-25	8
2023-01-10	5
2023-02-12	6
2023-01-13	11
2023-01-20	12
2023-03-18	3
2023-01-24	6
2023-03-14	7
2023-03-15	3
2023-02-13	5
2023-02-10	11
2022-12-29	19
2023-02-03	9
2022-12-30	11
2023-02-14	5
2022-11-26	7
2022-12-20	13
2023-03-24	3
2023-03-17	8
2023-02-06	13
2023-03-07	12
2023-03-06	9
2023-03-09	9
2023-02-28	6
2023-02-26	9
2023-01-29	9
2023-01-31	5
2023-01-28	12
2023-01-14	13
2023-02-21	21
2023-01-12	17
2023-03-11	5
2023-04-12	1
2023-03-01	4
2023-02-05	7
2023-02-11	1
2023-01-08	11
2023-03-16	5
2023-03-28	5
2023-03-08	4
2023-02-17	3
2023-04-15	1
2023-03-26	2
2023-04-02	3
2023-04-04	2
2023-04-09	1
2022-09-28	1
2023-01-01	3
2022-10-21	3
2023-02-08	5
2022-10-24	3
2022-10-25	4
2022-10-19	4
2022-10-26	1
2023-03-20	7
2022-10-31	2
2022-12-17	7
2023-04-11	2
2022-11-06	3
2022-11-07	6
2022-10-28	1
2023-02-15	5
2023-01-21	2
2022-10-08	1
2022-12-10	1
2022-11-04	2
2022-11-09	5
2022-11-05	1
2022-11-01	2
2022-10-30	1
2022-11-12	1
2023-01-30	17
2023-02-09	11
2023-02-01	4
2023-99-99	2
2023-03-12	8
2023-01-19	2
2023-03-21	4
2022-12-09	2
2022-11-21	2
2022-12-31	4
2022-12-11	5
2022-12-99	7
2022-11-23	3
2022-11-16	1
2023-03-13	7
2023-03-10	2
2023-03-27	2
2023-03-99	2
2023-03-04	5
2023-01-26	4
2023-02-16	1
2023-04-23	4
2022-11-17	1
2023-03-29	1
2023-04-24	1
2023-04-17	2
2022-12-18	1
